MAINTENANCE_AGENCY_ID,SUBDOMAIN_ID,NAME,DOMAIN_ID,IS_LISTED,CODE,FACET_ID,DESCRIPTION,IS_NATURAL
,FNNCL_CNTRCT_TYP_domain,,FNNCL_CNTRCT_TYP,,,,,
,FRBRNC_MSR_GRNTD_DRNG_RFRNC_PRD_domain,,FRBRNC_MSR_GRNTD_DRNG_RFRNC_PRD,,,,,
,FRBRNC_MSR_TYP_domain,,FRBRNC_MSR_TYP,,,,,
,FRQNCY_PYMNT_INPT_domain,,FRQNCY,,,,,
,FRTB_RSK_MSR_TYP_domain,,FRTB_RSK_MSR_TYP,,,,,
,FVO_DSGNTN_INPT_domain,,FVO_DSGNTN,,,,,
,FV_HRRCHY_INPT_domain,,FV_HRRCHY,,,,,
,GGRPHCL_ARS_SHSG4_ENTITY_1_CNTRY_REF_domain,,GGRPHCL_ARS,,,,,
,GIRR_RSK_FCTR_domain,,GIRR_RSK_FCTR,,,,,
,GRP_KY_MNGMNT_PRSNNL_ASSGNMNT_TYP_domain,,GRP_KY_MNGMNT_PRSNNL_ASSGNMNT_TYP,,,,,
,GRP_RL_TYP_domain,,GRP_RL_TYP,,,,,
,HDGD_PRTFL_ASST_LBLTY_INDCTR_domain,,HDGD_PRTFL_ASST_LBLTY_INDCTR,,,,,
,HLD_SL_INDCTR_INPT_domain,,HLD_SL_INDCTR,,,,,
,HLD_SL_INDCTR_domain,,HLD_SL_INDCTR,,,,,
,HQLA_INDCTR_INPT_domain,,HQLA_INDCTR,,,,,
,IDNTFR_TYP_domain,,TYP_INSTRMNT_ID,,,,,
,IMMDT_PRNT_ANCRDT_INDCTR_domain,,IMMDT_PRNT_ANCRDT_INDCTR,,,,,
,IMPRMNT_ASSSSMNT_MTHD_ANCRDT_CLLCTN_domain,,IMPRMNT_ASSSSMNT_MTHD,,,,,
,IMPRMNT_ASSSSMNT_MTHD_INPT_domain,,IMPRMNT_ASSSSMNT_MTHD,,,,,
,IMPRMNT_STTS_INPT_domain,,CRDT_QLTY,,,,,
,IMPRMNT_STTS_domain,,CRDT_QLTY,,,,,
,INSTRMNT_CLLTRL_ASSGNMNT_TYP_domain,,INSTRMNT_CLLTRL_ASSGNMNT_TYP,,,,,
,INSTRMNT_CLLTRL_INSTRMNT_ASSGNMNT_TYP_domain,,INSTRMNT_CLLTRL_INSTRMNT_ASSGNMNT_TYP,,,,,
,INSTRMNT_ENTTY_RL_ASSGNMNT_TYP_domain,,INSTRMNT_ENTTY_RL_ASSGNMNT_TYP,,,,,
,INSTRMNT_PRTCTN_ARRNGMNT_ASSGNMNT_TYP_domain,,INSTRMNT_PRTCTN_ARRNGMNT_ASSGNMNT_TYP,,,,,
,INSTRMNT_RL_TYP_INPT_domain,,ABSTRCT_INSTRMNT_RL_TYP,,,,,
,INSTRMNT_TYP_ORGN_domain,,TYP_INSTRMNT,,,,,
,INSTTTNL_SCTR_domain,,INSTTTNL_SCTR,,,,,
,INTL_IMPRMNT_STTS_INPT_domain,,CRDT_QLTY,,,,,
,INTL_IMPRMNT_STTS_domain,,CRDT_QLTY,,,,,
,INTRNTNL_ORGNSTNS_INPT_domain,,GGRPHCL_ARS,,,,,
,INTRST_RT_RST_FRQNCY_domain,,FRQNCY,,,,,
,ISO3166_INPT_domain,,GGRPHCL_ARS,,,,,
,ISO3166_domain,,GGRPHCL_ARS,,,,,
,ISO4217_INPT_domain,,CRRNCY,,,,,
