ID,CUBE_ID,COMBINATION_ID
10802,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_441737_REF
10803,F_06_01_REF_FINREP_3_0,F_06_01_REF_FINREP_3_0_152532_REF
10804,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_150600_REF
10805,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_150633_REF
10806,F_04_10_REF_FINREP_3_0,F_04_10_REF_FINREP_3_0_153192_REF
10807,F_04_08_REF_FINREP_3_0,F_04_08_REF_FINREP_3_0_153445_REF
10808,F_04_09_REF_FINREP_3_0,F_04_09_REF_FINREP_3_0_151727_REF
10809,F_41_01_REF_FINREP_3_0,F_41_01_REF_FINREP_3_0_152062_REF
10810,F_20_01_REF_FINREP_3_0,F_20_01_REF_FINREP_3_0_45911_REF
10811,F_11_01_REF_FINREP_3_0,F_11_01_REF_FINREP_3_0_151541_REF
10812,F_20_01_REF_FINREP_3_0,F_20_01_REF_FINREP_3_0_45683_REF
10813,F_11_01_REF_FINREP_3_0,F_11_01_REF_FINREP_3_0_67342_REF
10814,F_14_00_REF_FINREP_3_0,F_14_00_REF_FINREP_3_0_152012_REF
10815,F_11_02_REF_FINREP_3_0,F_11_02_REF_FINREP_3_0_153340_REF
10816,F_06_01_REF_FINREP_3_0,F_06_01_REF_FINREP_3_0_152568_REF
10817,F_07_02_REF_FINREP_3_0,F_07_02_REF_FINREP_3_0_150681_REF
10818,F_04_07_REF_FINREP_3_0,F_04_07_REF_FINREP_3_0_151773_REF
10819,F_07_02_REF_FINREP_3_0,F_07_02_REF_FINREP_3_0_150700_REF
10820,F_06_01_REF_FINREP_3_0,F_06_01_REF_FINREP_3_0_152369_REF
10821,F_11_01_REF_FINREP_3_0,F_11_01_REF_FINREP_3_0_151512_REF
10822,F_01_01_REF_FINREP_3_0,F_01_01_REF_FINREP_3_0_152875_REF
10823,F_11_02_REF_FINREP_3_0,F_11_02_REF_FINREP_3_0_153381_REF
10824,F_11_02_REF_FINREP_3_0,F_11_02_REF_FINREP_3_0_151605_REF
10825,F_20_01_REF_FINREP_3_0,F_20_01_REF_FINREP_3_0_11477_REF
10826,F_20_01_REF_FINREP_3_0,F_20_01_REF_FINREP_3_0_234414_REF
10827,F_14_00_REF_FINREP_3_0,F_14_00_REF_FINREP_3_0_151978_REF
10828,F_10_00_REF_FINREP_3_0,F_10_00_REF_FINREP_3_0_151913_REF
10829,F_07_02_REF_FINREP_3_0,F_07_02_REF_FINREP_3_0_155365_REF
10830,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_441750_REF
10831,F_20_01_REF_FINREP_3_0,F_20_01_REF_FINREP_3_0_11800_REF
10832,F_11_02_REF_FINREP_3_0,F_11_02_REF_FINREP_3_0_151324_REF
10833,F_11_01_REF_FINREP_3_0,F_11_01_REF_FINREP_3_0_151482_REF
10834,F_07_02_REF_FINREP_3_0,F_07_02_REF_FINREP_3_0_155398_REF
10835,F_04_10_REF_FINREP_3_0,F_04_10_REF_FINREP_3_0_153177_REF
10836,F_04_09_REF_FINREP_3_0,F_04_09_REF_FINREP_3_0_153126_REF
10837,F_01_01_REF_FINREP_3_0,F_01_01_REF_FINREP_3_0_113160_REF
10838,F_04_10_REF_FINREP_3_0,F_04_10_REF_FINREP_3_0_153205_REF
10839,F_10_00_REF_FINREP_3_0,F_10_00_REF_FINREP_3_0_151003_REF
10840,F_20_01_REF_FINREP_3_0,F_20_01_REF_FINREP_3_0_152853_REF
10841,F_04_08_REF_FINREP_3_0,F_04_08_REF_FINREP_3_0_150479_REF
10842,F_04_10_REF_FINREP_3_0,F_04_10_REF_FINREP_3_0_150350_REF
10843,F_13_01_REF_FINREP_3_0,F_13_01_REF_FINREP_3_0_429449_REF
10844,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_441679_REF
10845,F_04_08_REF_FINREP_3_0,F_04_08_REF_FINREP_3_0_153492_REF
10846,F_11_02_REF_FINREP_3_0,F_11_02_REF_FINREP_3_0_153386_REF
10847,F_11_02_REF_FINREP_3_0,F_11_02_REF_FINREP_3_0_153347_REF
10848,F_07_02_REF_FINREP_3_0,F_07_02_REF_FINREP_3_0_150690_REF
10849,F_14_00_REF_FINREP_3_0,F_14_00_REF_FINREP_3_0_11013_REF
10850,F_11_01_REF_FINREP_3_0,F_11_01_REF_FINREP_3_0_151439_REF
10851,F_11_02_REF_FINREP_3_0,F_11_02_REF_FINREP_3_0_151348_REF
10852,F_07_02_REF_FINREP_3_0,F_07_02_REF_FINREP_3_0_150907_REF
10853,F_41_01_REF_FINREP_3_0,F_41_01_REF_FINREP_3_0_152270_REF
10854,F_04_10_REF_FINREP_3_0,F_04_10_REF_FINREP_3_0_152117_REF
10855,F_04_08_REF_FINREP_3_0,F_04_08_REF_FINREP_3_0_153459_REF
10856,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_441733_REF
10857,F_14_00_REF_FINREP_3_0,F_14_00_REF_FINREP_3_0_10992_REF
10858,F_04_09_REF_FINREP_3_0,F_04_09_REF_FINREP_3_0_153062_REF
10859,F_11_02_REF_FINREP_3_0,F_11_02_REF_FINREP_3_0_234385_REF
10860,F_04_09_REF_FINREP_3_0,F_04_09_REF_FINREP_3_0_151650_REF
10861,F_11_02_REF_FINREP_3_0,F_11_02_REF_FINREP_3_0_153385_REF
10862,F_10_00_REF_FINREP_3_0,F_10_00_REF_FINREP_3_0_151920_REF
10863,F_04_10_REF_FINREP_3_0,F_04_10_REF_FINREP_3_0_153140_REF
10864,F_04_10_REF_FINREP_3_0,F_04_10_REF_FINREP_3_0_153163_REF
10865,F_11_01_REF_FINREP_3_0,F_11_01_REF_FINREP_3_0_151574_REF
10866,F_14_00_REF_FINREP_3_0,F_14_00_REF_FINREP_3_0_11263_REF
10867,F_10_00_REF_FINREP_3_0,F_10_00_REF_FINREP_3_0_150999_REF
10868,F_04_09_REF_FINREP_3_0,F_04_09_REF_FINREP_3_0_153064_REF
10869,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_150586_REF
10870,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_441689_REF
10871,F_09_01_REF_FINREP_3_0,F_09_01_REF_FINREP_3_0_155898_REF
10872,F_11_02_REF_FINREP_3_0,F_11_02_REF_FINREP_3_0_151388_REF
10873,F_11_02_REF_FINREP_3_0,F_11_02_REF_FINREP_3_0_153332_REF
10874,F_05_01_REF_FINREP_3_0,F_05_01_REF_FINREP_3_0_152421_REF
10875,F_06_01_REF_FINREP_3_0,F_06_01_REF_FINREP_3_0_429367_REF
10876,F_07_01_REF_FINREP_3_0,F_07_01_REF_FINREP_3_0_150643_REF
10877,F_04_10_REF_FINREP_3_0,F_04_10_REF_FINREP_3_0_150344_REF
10878,F_11_01_REF_FINREP_3_0,F_11_01_REF_FINREP_3_0_151359_REF
10879,F_10_00_REF_FINREP_3_0,F_10_00_REF_FINREP_3_0_10696_REF
10880,F_31_01_REF_FINREP_3_0,F_31_01_REF_FINREP_3_0_152153_REF
10881,F_04_10_REF_FINREP_3_0,F_04_10_REF_FINREP_3_0_152076_REF
10882,F_06_01_REF_FINREP_3_0,F_06_01_REF_FINREP_3_0_152507_REF
10883,F_14_00_REF_FINREP_3_0,F_14_00_REF_FINREP_3_0_151737_REF
10884,F_10_00_REF_FINREP_3_0,F_10_00_REF_FINREP_3_0_153244_REF
10885,F_08_02_REF_FINREP_3_0,F_08_02_REF_FINREP_3_0_151847_REF
10886,F_04_08_REF_FINREP_3_0,F_04_08_REF_FINREP_3_0_153462_REF
10887,F_04_08_REF_FINREP_3_0,F_04_08_REF_FINREP_3_0_150427_REF
10888,F_14_00_REF_FINREP_3_0,F_14_00_REF_FINREP_3_0_11488_REF
10889,F_11_01_REF_FINREP_3_0,F_11_01_REF_FINREP_3_0_151346_REF
