ID,CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED,IS_IDENTIFIER
4009,F_18_00_e_REF_FINREP_3_0_cube_structure,F_18_00_e_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
4010,F_18_00_e_REF_FINREP_3_0_cube_structure,F_18_00_e_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
4011,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure__ACCMLTD_IMPRMNT,ACCMLTD_IMPRMNT,,,,,,,,,,,,
4012,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure__ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,,,,,,,,,,,,
4013,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure__HLD_SL_INDCTR,HLD_SL_INDCTR,,,,,,,,,,,,
4014,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure__TYP_INSTRMNT,TYP_INSTRMNT,,,,,,,,,,,,
4015,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure__RPYMNT_RGHTS,RPYMNT_RGHTS,,,,,,,,,,,,
4016,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure__INSTTTNL_SCTR,INSTTTNL_SCTR,,,,,,,,,,,,
4017,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure__MLTLTRL_DVLPMNT_BNK_INDCTR,MLTLTRL_DVLPMNT_BNK_INDCTR,,,,,,,,,,,,
4018,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure__PRTY_RL_TYP,PRTY_RL_TYP,,,,,,,,,,,,
4019,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure__MN_DBTR_INDCTR,MN_DBTR_INDCTR,,,,,,,,,,,,
4020,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure__ENTRPRS_SZ,ENTRPRS_SZ,,,,,,,,,,,,
4021,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure__PRPS,PRPS,,,,,,,,,,,,
4022,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
4023,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure__NGTBL_SCRTY_INDCTR,NGTBL_SCRTY_INDCTR,,,,,,,,,,,,
4024,F_19_00_b_REF_FINREP_3_0_cube_structure,F_19_00_b_REF_FINREP_3_0_cube_structure__PRFRMNG_STTS,PRFRMNG_STTS,,,,,,,,,,,,
4025,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure__ACCMLTD_IMPRMNT,ACCMLTD_IMPRMNT,,,,,,,,,,,,
4026,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure__ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,,,,,,,,,,,,
4027,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure__HLD_SL_INDCTR,HLD_SL_INDCTR,,,,,,,,,,,,
4028,F_04_04_1_REF_FINREP_3_0_cube_structure,F_04_04_1_REF_FINREP_3_0_cube_structure__SBJCT_IMPRMNT_INDCTR,SBJCT_IMPRMNT_INDCTR,,,,,,,,,,,,
