ID,MEMBER_ID,SUBDOMAIN_ID,VALID_FROM,VALID_TO,ORDER
10459,CLLTRL_RS_INDCTR_1,CLLTRL_RS_INDCTR_INPT_domain,,,
10460,CLLTRL_RS_INDCTR_2,CLLTRL_RS_INDCTR_INPT_domain,,,
10461,CRRNCY_0,ISO4217_INPT_domain,,,
10462,CRRNCY_AED,ISO4217_INPT_domain,,,
10463,CRRNCY_AFN,ISO4217_INPT_domain,,,
10464,CRRNCY_ALL,ISO4217_INPT_domain,,,
10465,CRRNCY_AMD,ISO4217_INPT_domain,,,
10466,CRRNCY_ANG,ISO4217_INPT_domain,,,
10467,CRRNCY_AOA,ISO4217_INPT_domain,,,
10468,CRRNCY_ARS,ISO4217_INPT_domain,,,
10469,CRRNCY_AUD,ISO4217_INPT_domain,,,
10470,CRRNCY_AWG,ISO4217_INPT_domain,,,
10471,CRRNCY_AZN,ISO4217_INPT_domain,,,
10472,CRRNCY_BAM,ISO4217_INPT_domain,,,
10473,CRRNCY_BBD,ISO4217_INPT_domain,,,
10474,CRRNCY_BDT,ISO4217_INPT_domain,,,
10475,CRRNCY_BGN,ISO4217_INPT_domain,,,
10476,CRRNCY_BHD,ISO4217_INPT_domain,,,
10477,CRRNCY_BIF,ISO4217_INPT_domain,,,
10478,CRRNCY_BMD,ISO4217_INPT_domain,,,
10479,CRRNCY_BND,ISO4217_INPT_domain,,,
10480,CRRNCY_BOB,ISO4217_INPT_domain,,,
10481,CRRNCY_BOV,ISO4217_INPT_domain,,,
10482,CRRNCY_BRL,ISO4217_INPT_domain,,,
10483,CRRNCY_BSD,ISO4217_INPT_domain,,,
10484,CRRNCY_BTN,ISO4217_INPT_domain,,,
10485,CRRNCY_BWP,ISO4217_INPT_domain,,,
10486,CRRNCY_BYN,ISO4217_INPT_domain,,,
10487,CRRNCY_BZD,ISO4217_INPT_domain,,,
10488,CRRNCY_CAD,ISO4217_INPT_domain,,,
10489,CRRNCY_CDF,ISO4217_INPT_domain,,,
10490,CRRNCY_CHE,ISO4217_INPT_domain,,,
10491,CRRNCY_CHF,ISO4217_INPT_domain,,,
10492,CRRNCY_CHW,ISO4217_INPT_domain,,,
10493,CRRNCY_CLF,ISO4217_INPT_domain,,,
10494,CRRNCY_CLP,ISO4217_INPT_domain,,,
10495,CRRNCY_CNY,ISO4217_INPT_domain,,,
10496,CRRNCY_COP,ISO4217_INPT_domain,,,
10497,CRRNCY_COU,ISO4217_INPT_domain,,,
10498,CRRNCY_CRC,ISO4217_INPT_domain,,,
10499,CRRNCY_CUC,ISO4217_INPT_domain,,,
10500,CRRNCY_CUP,ISO4217_INPT_domain,,,
10501,CRRNCY_CVE,ISO4217_INPT_domain,,,
10502,CRRNCY_CZK,ISO4217_INPT_domain,,,
10503,CRRNCY_DJF,ISO4217_INPT_domain,,,
10504,CRRNCY_DKK,ISO4217_INPT_domain,,,
10505,CRRNCY_DOP,ISO4217_INPT_domain,,,
10506,CRRNCY_DZD,ISO4217_INPT_domain,,,
10507,CRRNCY_EGP,ISO4217_INPT_domain,,,
10508,CRRNCY_ERN,ISO4217_INPT_domain,,,
10509,CRRNCY_ETB,ISO4217_INPT_domain,,,
10510,CRRNCY_EUR,ISO4217_INPT_domain,,,
10511,CRRNCY_FJD,ISO4217_INPT_domain,,,
10512,CRRNCY_FKP,ISO4217_INPT_domain,,,
10513,CRRNCY_GBP,ISO4217_INPT_domain,,,
10514,CRRNCY_GEL,ISO4217_INPT_domain,,,
10515,CRRNCY_GHS,ISO4217_INPT_domain,,,
10516,CRRNCY_GIP,ISO4217_INPT_domain,,,
10517,CRRNCY_GMD,ISO4217_INPT_domain,,,
10518,CRRNCY_GNF,ISO4217_INPT_domain,,,
10519,CRRNCY_GTQ,ISO4217_INPT_domain,,,
10520,CRRNCY_GYD,ISO4217_INPT_domain,,,
10521,CRRNCY_HKD,ISO4217_INPT_domain,,,
10522,CRRNCY_HNL,ISO4217_INPT_domain,,,
10523,CRRNCY_HRK,ISO4217_INPT_domain,,,
10524,CRRNCY_HTG,ISO4217_INPT_domain,,,
10525,CRRNCY_HUF,ISO4217_INPT_domain,,,
10526,CRRNCY_IDR,ISO4217_INPT_domain,,,
10527,CRRNCY_ILS,ISO4217_INPT_domain,,,
10528,CRRNCY_INR,ISO4217_INPT_domain,,,
10529,CRRNCY_IQD,ISO4217_INPT_domain,,,
10530,CRRNCY_IRR,ISO4217_INPT_domain,,,
10531,CRRNCY_ISK,ISO4217_INPT_domain,,,
10532,CRRNCY_JMD,ISO4217_INPT_domain,,,
10533,CRRNCY_JOD,ISO4217_INPT_domain,,,
10534,CRRNCY_JPY,ISO4217_INPT_domain,,,
10535,CRRNCY_KES,ISO4217_INPT_domain,,,
10536,CRRNCY_KGS,ISO4217_INPT_domain,,,
10537,CRRNCY_KHR,ISO4217_INPT_domain,,,
10538,CRRNCY_KMF,ISO4217_INPT_domain,,,
