CUBE_STRUCTURE_ITEM_LINK_ID,CUBE_LINK_ID,FOREIGN_CUBE_VARIABLE_CODE,PRIMARY_CUBE_VARIABLE_CODE
F_01_01_REF_FINREP_3_0:SCRTY_PSTN:Non Negotiable bonds:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:SCRTY_PSTN:Non Negotiable bonds,3779,3349
F_01_02_REF_FINREP_3_0:INSTRMNT:Deposits:TYP_INSTRMNT:TYP_INSTRMNT,F_01_02_REF_FINREP_3_0:INSTRMNT:Deposits,3640,2583
F_01_02_REF_FINREP_3_0:INSTRMNT_RL:Deposits:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:INSTRMNT_RL:Deposits,3636,2683
F_01_02_REF_FINREP_3_0:INSTRMNT_RL:Deposits:SBJCT_IMPRMNT_INDCTR:SBJCT_IMPRMNT_INDCTR,F_01_02_REF_FINREP_3_0:INSTRMNT_RL:Deposits,3639,2740
F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Deferred tax liabilities:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Deferred tax liabilities,3636,2971
F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Provisions Employee benefits Other than pension and other post employment defined benefit obligations:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Provisions Employee benefits Other than pension and other post employment defined benefit obligations,3636,2971
F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Provisions Employee benefits Pension and other post employment defined benefit obligations:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Provisions Employee benefits Pension and other post employment defined benefit obligations,3636,2971
F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Provisions Funds for general banking risks:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Provisions Funds for general banking risks,3636,2971
F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Provisions Other than commitments and guarantees given and payment commitments to resolution funds and deposit guarantee schemes:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Provisions Other than commitments and guarantees given and payment commitments to resolution funds and deposit guarantee schemes,3636,2971
F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Provisions Pending legal issues and tax litigation:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Provisions Pending legal issues and tax litigation,3636,2971
F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Provisions Restructuring:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Provisions Restructuring,3636,2971
F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Provisions:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Provisions,3636,2971
F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Share capital repayable on demand:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Share capital repayable on demand,3636,2971
F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Tax liabilities:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:NN_FNNCL_ASST:Tax liabilities,3636,2971
F_01_02_REF_FINREP_3_0:NN_FNNCL_LBLTY:Other financial liabilities:CRRYNG_AMNT:CRRYNG_AMNT,F_01_02_REF_FINREP_3_0:NN_FNNCL_LBLTY:Other financial liabilities,3636,2981
F_04_01_REF_FINREP_3_0:CLLTRL:Other loans:CRRYNG_AMNT:CRRYNG_AMNT,F_04_01_REF_FINREP_3_0:CLLTRL:Other loans,3818,2087
F_04_01_REF_FINREP_3_0:INSTRMNT:Other loans:TYP_INSTRMNT:TYP_INSTRMNT,F_04_01_REF_FINREP_3_0:INSTRMNT:Other loans,3826,2583
